File,Original Sentence Count,Processed Sentence Count
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Article VII of the Constitution  National Constitution Center  Khan Academy_expanded.txt",177,176
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Dred Scott v Sandford  The Civil War era (1844-1877)  US history  Khan Academy_expanded.txt",162,169
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Article VI of the Constitution  National Constitution Center  Khan Academy_expanded.txt",137,139
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Marbury v Madison  US government and civics  Khan Academy_expanded.txt",164,165
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Article III of the Constitution  US Government and Politics  Khan Academy_expanded.txt",137,136
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Second Amendment  National Constitution Center  Khan Academy_expanded.txt",127,130
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Preamble to the Constitution  US Government and Politics  Khan Academy_expanded.txt",106,104
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Miranda v Arizona  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt",142,141
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Fourth Amendment  National Constitution Center  Khan Academy_expanded.txt",128,128
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Plessy v Ferguson  The Gilded Age (1865-1898)  US history  Khan Academy_expanded.txt",125,125
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Citizens United v Federal Election Commission  US government and civics  Khan Academy_expanded.txt",146,147
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The First Amendment  National Constitution Center  Khan Academy_expanded.txt",145,145
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Article I of the Constitution  US Government and Politics  Khan Academy_expanded.txt",115,115
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Baker v Carr  National Constitution Center  Khan Academy_expanded.txt",135,137
