Name,Count,Channel
Kim,218,Khan Academy
Mark Graber,12,Khan Academy
Michael Rappaport,7,Khan Academy
George Washington,137,Khan Academy
Alexander Hamilton,136,Khan Academy
James Madison,187,Khan Academy
Hamilton,140,Khan Academy
Madison,223,Khan Academy
Patrick Henry,6,Khan Academy
Samuel Adams,6,Khan Academy
Dred Scott v. Sanford,11,Khan Academy
Dred Scott,119,Khan Academy
Christopher Bracey,12,Khan Academy
Peter,20,Khan Academy
Elizabeth Taylor Blow,28,Khan Academy
Emerson,68,Khan Academy
Dred,40,Khan Academy
Scots,21,Khan Academy
Dred Scott's,28,Khan Academy
John Sanford,8,Khan Academy
Northerners,8,Khan Academy
Roger Tawny,136,Khan Academy
Benjamin Curtis,12,Khan Academy
John C. Calhoun,4,Khan Academy
Frederick Douglass',8,Khan Academy
Abraham Lincoln,271,Khan Academy
Tony,28,Khan Academy
Michael Ramsey,6,Khan Academy
Lincoln,64,Khan Academy
Roosevelt,162,Khan Academy
Marbury,63,Khan Academy
Michael Claremont,5,Khan Academy
Law,30,Khan Academy
Kevin Walsh,10,Khan Academy
John Adams,80,Khan Academy
Thomas Jefferson,160,Khan Academy
Jefferson,146,Khan Academy
William Marbury,5,Khan Academy
John Marshall,299,Khan Academy
Adams,21,Khan Academy
John Adams',13,Khan Academy
John Marshall's,27,Khan Academy
Marshall,11,Khan Academy
Trump,5,Khan Academy
Truman,65,Khan Academy
Jeff Rosen's,5,Khan Academy
Jeff Rosen,27,Khan Academy
Richard Garnett,10,Khan Academy
Andrew Jackson,167,Khan Academy
Federalist,5,Khan Academy
Alexander Hamilton's,17,Khan Academy
Akilah Maher,5,Khan Academy
trumps,5,Khan Academy
Alan Gura,22,Khan Academy
Adam Winkler,18,Khan Academy
The Battle of Lexington,6,Khan Academy
Miller,78,Khan Academy
Heller,68,Khan Academy
Sal,24,Khan Academy
Jeffrey Rosen,23,Khan Academy
Jeff,5,Khan Academy
James Wilson,22,Khan Academy
James Wilson's,5,Khan Academy
King George,10,Khan Academy
George,5,Khan Academy
Brexit,5,Khan Academy
Jacobson,10,Khan Academy
Harlan,17,Khan Academy
Miranda,200,Khan Academy
Paul Kasell,15,Khan Academy
Ernesto Miranda,5,Khan Academy
Ernesto,15,Khan Academy
Patricia,5,Khan Academy
Hugo Black,5,Khan Academy
John Flynn,5,Khan Academy
Flynn,40,Khan Academy
Telford Taylor,5,Khan Academy
Listener,5,Khan Academy
Cassell,10,Khan Academy
Richard Fowles,10,Khan Academy
Kassel,5,Khan Academy
Tracy Mears,6,Khan Academy
Oren Kerr,12,Khan Academy
Mears,36,Khan Academy
Assistance,6,Khan Academy
Kerr,12,Khan Academy
Twitter,10,Khan Academy
Rosa Parks,7,Khan Academy
Jim Crow,117,Khan Academy
Plessy,232,Khan Academy
Ferguson,97,Khan Academy
Jamal Green,9,Khan Academy
Homer Plessy,17,Khan Academy
Jim Crow's,3,Khan Academy
Rick Hasson,6,Khan Academy
Bradley Smith,18,Khan Academy
Smith,6,Khan Academy
Jones,24,Khan Academy
Bush,39,Khan Academy
McConnell,18,Khan Academy
Citizens United,42,Khan Academy
Hillary the Movie,18,Khan Academy
Hillary Clinton,62,Khan Academy
Barack Obama,27,Khan Academy
Kindle,6,Khan Academy
Benjamin Blumen,6,Khan Academy
Sonia West,6,Khan Academy
Donald Trump,53,Khan Academy
Rick Hayson,6,Khan Academy
Dean,7,Khan Academy
Michael McConnell,12,Khan Academy
Potter Stewart,6,Khan Academy
Ilya Somen,10,Khan Academy
Heather Gerkin,10,Khan Academy
Heather Gerkin's,5,Khan Academy
Neil Gorsuch,10,Khan Academy
Richard Nixon,20,Khan Academy
Andrew Johnson,62,Khan Academy
Bill Clinton,24,Khan Academy
marijuana,20,Khan Academy
Heather Gurkin,5,Khan Academy
Baker,128,Khan Academy
Carr,67,Khan Academy
Baker Carr,11,Khan Academy
Theodore Olson,10,Khan Academy
Gibson Dunn,5,Khan Academy
Guy Charles,5,Khan Academy
Edward,5,Khan Academy
Ellen Schwartzman,5,Khan Academy
Earl Warren,6,Khan Academy
Charles Baker,9,Khan Academy
Randy Barnett,22,Khan Academy
Neil Siegel,6,Khan Academy
McCulloch,44,Khan Academy
Edmund Randolph,16,Khan Academy
McCullough,7,Khan Academy
Robert Shapiro,5,Khan Academy
Strauss,12,Khan Academy
Rabaport,6,Khan Academy
Elizabeth Wydra,12,Khan Academy
Otis McDonald,6,Khan Academy
Samuel Pomeray,12,Khan Academy
Thomas,29,Khan Academy
Scalia,15,Khan Academy
Alito,33,Khan Academy
Elizabeth Weidra,12,Khan Academy
Erin Holly,18,Khan Academy
Erin Holly's,6,Khan Academy
Clinton,37,Khan Academy
Benjamin Franklin,8,Khan Academy
Richard Epstein,6,Khan Academy
colonists,5,Khan Academy
Griswold,23,Khan Academy
Douglas,16,Khan Academy
Jeffrey Fisher,6,Khan Academy
Walter Raleigh,18,Khan Academy
Bebes,6,Khan Academy
Kurt Lash,6,Khan Academy
George Mason,28,Khan Academy
Gary,10,Khan Academy
John Bingham,6,Khan Academy
Roger Sherman,2,Khan Academy
Clark Forsythe,12,Khan Academy
Melissa Murray,18,Khan Academy
Alexander F.,6,Khan Academy
May T. Morrison,6,Khan Academy
Norma McCorvey,92,Khan Academy
Jane Rowe,24,Khan Academy
Norma McCorvey's,28,Khan Academy
Sarah Weddington,18,Khan Academy
Linda Coffey,6,Khan Academy
Wade,22,Khan Academy
Blackman,18,Khan Academy
William O. Douglas,23,Khan Academy
Rehnquist,18,Khan Academy
White,6,Khan Academy
Frank Church,6,Khan Academy
Harris,6,Khan Academy
Casey,7,Khan Academy
Stephen Breyer,12,Khan Academy
Oliver Brown,6,Khan Academy
Linda,6,Khan Academy
Theodore Shaw,12,Khan Academy
Richard,6,Khan Academy
Francis Mallory,6,Khan Academy
Kenneth Clark,24,Khan Academy
Kenneth Clark's,6,Khan Academy
Leon Higginbotham,24,Khan Academy
Brown,107,Khan Academy
Martin Luther King,39,Khan Academy
Thurgood Marshall,26,Khan Academy
Thurgood Marshall's,6,Khan Academy
Sai Prakash,10,Khan Academy
Michael Gerhart,10,Khan Academy
Gerhart,5,Khan Academy
Obama,66,Khan Academy
George Washington's,21,Khan Academy
Franklin Roosevelt,15,Khan Academy
Michael Gerhardt,5,Khan Academy
John Stineford,18,Khan Academy
Jeffries,6,Khan Academy
Aldgate,6,Khan Academy
Livermore,6,Khan Academy
Anthony Kennedy,21,Khan Academy
Hyde,6,Khan Academy
Renee Lerner,6,Khan Academy
FDR,58,Khan Academy
Ronald Reagan,27,Khan Academy
Ronald Reagan's,1,Khan Academy
Milton Friedman,9,Khan Academy
Fidel Castro,64,Khan Academy
Kennedy,139,Khan Academy
Castro,24,Khan Academy
Khrushchev,32,Khan Academy
John F. Kennedy,63,Khan Academy
John F. Kennedy's,4,Khan Academy
Che Guevara,10,Khan Academy
Raul Castro,8,Khan Academy
Alan Dulles,6,Khan Academy
Kim Il-sung,18,Khan Academy
Sigmund Rhee,8,Khan Academy
Mao Zedong,16,Khan Academy
Chiang Kai-shek,6,Khan Academy
Douglas MacArthur,4,Khan Academy
David,15,Khan Academy
Sparky,5,Khan Academy
Harry Truman,50,Khan Academy
Joseph Stalin,9,Khan Academy
Hitler,79,Khan Academy
Stalin,22,Khan Academy
Nixon,15,Khan Academy
Johnson,19,Khan Academy
Van Tu,6,Khan Academy
Viet Cong,8,Khan Academy
Karl Marx,28,Khan Academy
Vladimir Lenin,8,Khan Academy
Karl Marx's,8,Khan Academy
Mark Twain,8,Khan Academy
Jamestown,15,Khan Academy
Roger Williams,1,Khan Academy
William Penn,12,Khan Academy
Quakers,9,Khan Academy
William Penn's,4,Khan Academy
Penn,1,Khan Academy
John White,40,Khan Academy
John White's,8,Khan Academy
John Smith,19,Khan Academy
John Rolf,5,Khan Academy
Christopher Columbus,33,Khan Academy
Elizabeth,6,Khan Academy
Mary,4,Khan Academy
Queen Elizabeth,9,Khan Academy
James,3,Khan Academy
Ben Franklin,11,Khan Academy
Gilbert,6,Khan Academy
Humphrey Gilbert,10,Khan Academy
Nathaniel Bacon,5,Khan Academy
Lee,168,Khan Academy
Abraham Lincoln's,46,Khan Academy
S. Grant,6,Khan Academy
Uncle,54,Khan Academy
Tom,70,Khan Academy
Harriet Beecher Stowe,39,Khan Academy
Uncle Tom's,51,Khan Academy
Cabin,35,Khan Academy
Tom's,6,Khan Academy
Jesus,8,Khan Academy
Uncle Tom's',6,Khan Academy
Simon Legree,6,Khan Academy
Cotton,8,Khan Academy
Frederick Douglass,23,Khan Academy
John Brown,4,Khan Academy
Walter Isaacson,6,Khan Academy
Jeffrey,16,Khan Academy
Robert E. Lee,28,Khan Academy
Harry Potter,4,Khan Academy
anti-Tom,8,Khan Academy
William Tecumseh Sherman,19,Khan Academy
Jefferson Davis,6,Khan Academy
James Buchanan,2,Khan Academy
Buchanan,2,Khan Academy
Antietam,28,Khan Academy
George Mead,14,Khan Academy
Edward Everett,18,Khan Academy
Everett,28,Khan Academy
William Seward,4,Khan Academy
William Lloyd Garrison,2,Khan Academy
Horace Greeley,6,Khan Academy
John Wilkes Booth,68,Khan Academy
Robert E. Lee's,6,Khan Academy
George B. McClellan,14,Khan Academy
Bull Run,18,Khan Academy
George Pickett's,8,Khan Academy
Ulysses S. Grant,10,Khan Academy
Westward,8,Khan Academy
John Gast,8,Khan Academy
Ruth,2,Khan Academy
Hood Hayes,6,Khan Academy
Oliver Wendell,8,Khan Academy
McClellan,66,Khan Academy
Matthew Brady,2,Khan Academy
Matthew,4,Khan Academy
Winfield Scott,1,Khan Academy
Zachary Taylor,3,Khan Academy
James K. Polk,14,Khan Academy
Zachary Taylor's,1,Khan Academy
Taylor,4,Khan Academy
Sherman,16,Khan Academy
James Madison's,4,Khan Academy
Grant,4,Khan Academy
John Wilkes Booth's,10,Khan Academy
John,16,Khan Academy
Booth,8,Khan Academy
William Seward's,12,Khan Academy
Henry Clay,23,Khan Academy
Irwin Chemerinsky,10,Khan Academy
Michael Rapaport,5,Khan Academy
Sal Khan,9,Khan Academy
Stephanos Bebas,5,Khan Academy
Fischer,5,Khan Academy
Roe,15,Khan Academy
Norma McCorbey,10,Khan Academy
Hellerstatt,5,Khan Academy
Donald Dripps,5,Khan Academy
Stephen Salzburg,5,Khan Academy
Wallace,5,Khan Academy
Stephen SalzburgStephen Salzburg,5,Khan Academy
King John,10,Khan Academy
Magna Carta,5,Khan Academy
John Luburn,20,Khan Academy
Dredd Scott,5,Khan Academy
F.,5,Khan Academy
Green,8,Khan Academy
Amy Green,16,Khan Academy
Rose,16,Khan Academy
Amy Green's,6,Khan Academy
George W. Bush,25,Khan Academy
George W. Bush's,6,Khan Academy
Walter Cronkite,6,Khan Academy
Mitt Romney,8,Khan Academy
A.,5,Khan Academy
John McCain,35,Khan Academy
Sarah Palin,30,Khan Academy
Kenneth Garrett,25,Khan Academy
John McCain's,5,Khan Academy
George Bush,15,Khan Academy
John Kerry,10,Khan Academy
John Kerry's,5,Khan Academy
Hillary Clinton's,18,Khan Academy
George H. W. Bush,6,Khan Academy
Reagan,12,Khan Academy
Carter,2,Khan Academy
Theodore Roosevelt,23,Khan Academy
Ross Perot,14,Khan Academy
Winner,2,Khan Academy
Ross,2,Khan Academy
Donald Trump's,8,Khan Academy
Shaw,6,Khan Academy
Powell,20,Khan Academy
Bollinger,14,Khan Academy
Sandra Day O'Connor,4,Khan Academy
Clarence Thomas,6,Khan Academy
Sandra Day O'Connor's,2,Khan Academy
Martin Luther King's,10,Khan Academy
Jane Adams,3,Khan Academy
Rutherford B. Hayes,6,Khan Academy
Samuel J. Tilden,6,Khan Academy
Hayes,6,Khan Academy
Hooray,2,Khan Academy
Andrew Carnegie,12,Khan Academy
J.P. Morgan,12,Khan Academy
John D. Rockefeller,6,Khan Academy
Jacob Reese,28,Khan Academy
Albert Einstein,2,Khan Academy
Darwin,8,Khan Academy
Herbert Spencer,14,Khan Academy
Herbert Spencer's,6,Khan Academy
Spencer,11,Khan Academy
Thomas Edison,8,Khan Academy
North,5,Khan Academy
Mary Anton,6,Khan Academy
Lee Choo,6,Khan Academy
Al-Andalus,6,Khan Academy
Isabella,36,Khan Academy
Christopher Columbus's,10,Khan Academy
Franklin Delano Roosevelt,58,Khan Academy
Herbert Hoover,29,Khan Academy
Marco Polo,2,Khan Academy
Greeks,6,Khan Academy
Aztecs,10,Khan Academy
Daniel Shays,24,Khan Academy
Thomas Jefferson's,13,Khan Academy
Abigail Adams,4,Khan Academy
John Locke,22,Khan Academy
John Locke's,8,Khan Academy
Edward Braddock,6,Khan Academy
Arthur Schlesinger,5,Khan Academy
Grassley,6,Khan Academy
Gerry,4,Khan Academy
Portella,14,Khan Academy
Larry Bird High School,6,Khan Academy
Cameth,21,Khan Academy
George III,1,Khan Academy
Eisenhower,12,Khan Academy
Hasturt,6,Khan Academy
Theodore Roosevelt's,4,Khan Academy
James Monroe,15,Khan Academy
Gerald Ford,6,Khan Academy
Jimmy Carter,1,Khan Academy
George Wallace,7,Khan Academy
Lyndon Johnson's,2,Khan Academy
Lyndon Johnson,8,Khan Academy
George H.W. Bush,3,Khan Academy
Bill Clinton's,3,Khan Academy
Uncle Sam,2,Khan Academy
Uncle Sam's,1,Khan Academy
Frederick Jackson Turner,6,Khan Academy
Alfred Thayer Mahan,8,Khan Academy
Pearl Harbor,4,Khan Academy
Adolf Hitler,10,Khan Academy
Vichy France,6,Khan Academy
Winston Churchill,2,Khan Academy
Woodrow Wilson,30,Khan Academy
Malaya,6,Khan Academy
Teddy Roosevelt,5,Khan Academy
Woodrow Wilson's,2,Khan Academy
Iwo Jima,6,Khan Academy
Okinawa,6,Khan Academy
Ida B. Wells,1,Khan Academy
Mussolini,14,Khan Academy
Wilson,6,Khan Academy
Arthur Zimmerman,8,Khan Academy
Zimmerman,4,Khan Academy
William Jennings Bryan,7,Khan Academy
Weimar Germany,6,Khan Academy
the Doolittle Raid,8,Khan Academy
Michel,7,Khan Academy
Natalie,5,Khan Academy
Charles,4,Khan Academy
Lorenzo,18,Khan Academy
Ty,6,Khan Academy
Harriet,4,Khan Academy
max,1,Khan Academy
Hoover,2,Khan Academy
Eleanor Roosevelt,3,Khan Academy
James Henry Hammond,18,Khan Academy
Hmm,1,Khan Academy
The Messenger,2,Khan Academy
Geithner,15,Khan Academy
Jim,2,Khan Academy
Jackson,28,Khan Academy
William Howard Taft,11,Khan Academy
John Jay,13,Khan Academy
Robert Jackson,5,Khan Academy
Saul,1,Khan Academy
Aaron Burr,5,Khan Academy
Hiram Rebels,5,Khan Academy
Dwight Eisenhower,1,Khan Academy
Stephen Douglas,2,Khan Academy
Joe,6,Khan Academy
Federalist Papers,4,Khan Academy
Brutus,19,Khan Academy
Hobbes,8,Khan Academy
Gore,2,Khan Academy
Alfonso Lopez,10,Khan Academy
Alfonso Lopez's,6,Khan Academy
William Rehnquist,6,Khan Academy
Lyman Beecher,8,Khan Academy
John Quincy Adams,30,Khan Academy
John Quincy Adams',4,Khan Academy
Andrew Jackson's,25,Khan Academy
Martin Van Buren,2,Khan Academy
William Henry Harrison,10,Khan Academy
Jesus Christ,2,Khan Academy
Finney,6,Khan Academy
Mormons,4,Khan Academy
Samuel Slater,10,Khan Academy
Joseph Smith,5,Khan Academy
William McKinley,1,Khan Academy
Hop,1,PBS Kids
Daniel,1,PBS Kids
Harry,4,PBS Kids
Kitty Academy,7,PBS Kids
Xavier Riddle,28,PBS Kids
Flash,8,PBS Kids
Hmm,12,PBS Kids
Grandmaster Flash,7,PBS Kids
Burby,11,PBS Kids
Yadina,38,PBS Kids
Zoo,11,PBS Kids
Zoom,31,PBS Kids
Mary Seacole,16,PBS Kids
Brad,98,PBS Kids
Bill,2,PBS Kids
Shirley,5,PBS Kids
Errol,8,PBS Kids
Wilma Rudolph,7,PBS Kids
Jonas,5,PBS Kids
Jonas Salk,20,PBS Kids
Lindsay,7,PBS Kids
Rosa Parks,12,PBS Kids
Doom,14,PBS Kids
Rosa,14,PBS Kids
Rosa Whoa Rosa Parks,5,PBS Kids
Thurgood Marshall,6,PBS Kids
Kitty,8,PBS Kids
Fred,4,PBS Kids
Ta-da,2,PBS Kids
Marshall,1,PBS Kids
Thurgood Marshall's,1,PBS Kids
Jesse Owens,10,PBS Kids
Jesse,29,PBS Kids
Yummy,1,PBS Kids
Ella Fitzgerald,22,PBS Kids
Kinda,1,PBS Kids
Zuma,5,PBS Kids
Frederick Douglass,13,PBS Kids
Frederick,24,PBS Kids
Jimmy,8,PBS Kids
