Name,Count,Channel,gender,occupation,ethnic_group
Kim,218,Khan Academy,female,musician,None
Mark Graber,12,Khan Academy,male,researcher,None
Michael Rappaport,7,Khan Academy,male,badminton player,None
George Washington,137,Khan Academy,male,None,None
Alexander Hamilton,136,Khan Academy,male,Christian minister,None
James Madison,187,Khan Academy,male,diplomat|politician|writer|lawyer|statesperson|philosopher,None
Hamilton,140,Khan Academy,male,Formula One driver|racing automobile driver,None
Madison,223,Khan Academy,male,radio personality,None
Patrick Henry,6,Khan Academy,male,politician|lawyer|writer,None
Samuel Adams,6,Khan Academy,male,politician|philosopher,None
Dred Scott v. Sanford,11,Khan Academy,None,None,None
Dred Scott,119,Khan Academy,male,activist,None
Christopher Bracey,12,Khan Academy,male,lawyer,None
Peter,20,Khan Academy,male,hermit|monk,None
Elizabeth Taylor Blow,28,Khan Academy,None,None,None
Emerson,68,Khan Academy,male,association football player,None
Dred,40,Khan Academy,male,composer|disc jockey|copywriter,None
Scots,21,Khan Academy,None,None,None
Dred Scott's,28,Khan Academy,None,None,None
John Sanford,8,Khan Academy,male,actor|comedian|television actor,African Americans|multiracial American
Northerners,8,Khan Academy,None,None,None
Roger Tawny,136,Khan Academy,None,None,None
Benjamin Curtis,12,Khan Academy,male,judge|lawyer|politician,None
John C. Calhoun,4,Khan Academy,male,writer|lawyer|politician|diplomat,None
Frederick Douglass',8,Khan Academy,None,None,None
Abraham Lincoln,271,Khan Academy,male,writer|lawyer|politician|farmer|military officer|statesperson|postmaster,None
Tony,28,Khan Academy,male,politician,None
Michael Ramsey,6,Khan Academy,male,priest|politician|theologian,None
Lincoln,64,Khan Academy,female,badminton player,None
Roosevelt,162,Khan Academy,male,statesperson,None
Marbury,63,Khan Academy,None,None,None
Michael Claremont,5,Khan Academy,None,None,None
Law,30,Khan Academy,male,photographer,None
Kevin Walsh,10,Khan Academy,male,association football player,None
John Adams,80,Khan Academy,male,politician,None
Thomas Jefferson,160,Khan Academy,male,teacher|writer|lawyer|politician|architect|farmer|jurist|diplomat|inventor|statesperson|paleontologist|philosopher|cryptographer|archaeologist,None
Jefferson,146,Khan Academy,male,association football player,None
William Marbury,5,Khan Academy,male,judge|lawyer,None
John Marshall,299,Khan Academy,male,percussionist|jazz musician,None
Adams,21,Khan Academy,female,actor|entrepreneur|singer|singer-songwriter|fashion designer|model|blogger,None
John Adams',13,Khan Academy,None,None,None
John Marshall's,27,Khan Academy,None,None,None
Marshall,11,Khan Academy,male,botanist,None
Trump,5,Khan Academy,male,actor|writer|businessperson|politician|entrepreneur|investor|merchant|film producer|television producer|business magnate|chief executive officer|conspiracy theorist|restaurateur|game show host|real estate entrepreneur,White Americans
Truman,65,Khan Academy,male,judge|politician|businessperson|diarist|military officer,None
Jeff Rosen's,5,Khan Academy,None,None,None
Jeff Rosen,27,Khan Academy,male,composer|record producer,None
Richard Garnett,10,Khan Academy,male,poet|writer|librarian|translator|editor,None
Andrew Jackson,167,Khan Academy,male,politician|lawyer|judge|military officer|statesperson,None
Federalist,5,Khan Academy,None,None,None
Alexander Hamilton's,17,Khan Academy,None,None,None
Akilah Maher,5,Khan Academy,None,None,None
trumps,5,Khan Academy,None,None,None
Alan Gura,22,Khan Academy,male,lawyer|gun rights advocate,None
Adam Winkler,18,Khan Academy,male,lawyer|jurist|university teacher,None
The Battle of Lexington,6,Khan Academy,None,None,None
Miller,78,Khan Academy,male,zoologist|curator|botanist,None
Heller,68,Khan Academy,male,zoologist|university teacher|anatomist|carcinologist,None
Sal,24,Khan Academy,male,military personnel,None
Jeffrey Rosen,23,Khan Academy,male,university teacher,None
Jeff,5,Khan Academy,male,researcher,None
James Wilson,22,Khan Academy,male,businessperson|politician|entrepreneur|banker|economist|editor|journalist,None
James Wilson's,5,Khan Academy,None,None,None
King George,10,Khan Academy,male,actor|influencer,None
George,5,Khan Academy,male,thaumaturge|dragonslayer|soldier,None
Brexit,5,Khan Academy,None,None,None
Jacobson,10,Khan Academy,male,painter,None
Harlan,17,Khan Academy,male,naturalist|physician|physicist|zoologist|paleontologist|botanist|herpetologist,None
Miranda,200,Khan Academy,female,singer,None
Paul Kasell,15,Khan Academy,None,None,None
Ernesto Miranda,5,Khan Academy,male,criminal,None
Ernesto,15,Khan Academy,male,cabaret performer,None
Patricia,5,Khan Academy,female,actor|pornographic actor|film director|film producer|film actor,None
Hugo Black,5,Khan Academy,male,judge|lawyer|military personnel|politician,None
John Flynn,5,Khan Academy,male,priest|aircraft pilot,None
Flynn,40,Khan Academy,male,botanist,None
Telford Taylor,5,Khan Academy,male,scientist|writer|lawyer|jurist|historian|political scientist|university teacher|magistrate|army officer,None
Listener,5,Khan Academy,None,None,None
